datetime,temperature_2m,precipitation,surface_pressure,snowfall,shortwave_radiation,winddirection_10m,windgusts_10m,windspeed_10m,relative_humidity_2m
2019-01-24 00:00:00,-2.62,0.04,976.18,0.028,0.0,111.2,19.8,8.6,84.4
2019-01-24 01:00:00,-2.72,0.0,976.26,0.0,0.0,110.4,20.3,8.88,84.2
2019-01-24 02:00:00,-2.5,0.02,976.46,0.014,0.0,129.6,20.8,9.64,83.2
2019-01-24 03:00:00,-2.3,0.02,976.58,0.014,0.0,146.6,23.34,10.58,81.4
2019-01-24 04:00:00,-2.18,0.02,976.94,0.014,0.0,137.4,25.26,11.32,80.6
2019-01-24 05:00:00,-2.1,0.0,977.12,0.0,0.0,138.8,26.64,11.66,79.6
2019-01-24 06:00:00,-1.96,0.0,977.28,0.0,0.0,129.8,28.58,12.9,78.6
2019-01-24 07:00:00,-1.8,0.0,977.58,0.0,0.0,121.8,29.14,11.72,78.0
2019-01-24 08:00:00,-1.72,0.02,978.02,0.014,0.0,184.2,27.28,11.14,78.4
2019-01-24 09:00:00,-1.5,0.02,978.32,0.014,2.0,181.4,27.14,11.34,76.4
2019-01-24 10:00:00,-1.06,0.0,978.74,0.0,35.8,283.4,27.22,10.9,76.8
2019-01-24 11:00:00,-0.42,0.0,978.8,0.0,94.8,266.6,27.58,11.24,73.6
2019-01-24 12:00:00,0.52,0.0,978.72,0.0,161.2,151.0,28.88,12.12,70.8
2019-01-24 13:00:00,1.44,0.0,978.4,0.0,211.0,152.0,30.4,12.5,68.0
2019-01-24 14:00:00,1.1,0.02,979.26,0.014,246.0,155.8,32.68,11.22,75.0
2019-01-24 15:00:00,1.38,0.04,979.16,0.028,178.0,145.4,26.5,10.18,74.0
2019-01-24 16:00:00,1.64,0.02,979.26,0.014,129.2,138.8,25.0,9.66,73.8
2019-01-24 17:00:00,1.18,0.02,979.48,0.014,79.0,80.8,24.84,9.44,76.6
2019-01-24 18:00:00,0.18,0.02,979.88,0.014,18.2,97.2,22.02,8.78,81.4
2019-01-24 19:00:00,-0.4,0.02,980.38,0.014,0.0,122.8,21.36,9.5,81.8
2019-01-24 20:00:00,-0.24,0.0,981.32,0.0,0.0,94.8,21.02,9.22,79.8
2019-01-24 21:00:00,-0.82,0.0,981.6,0.0,0.0,184.2,21.7,9.42,81.2
2019-01-24 22:00:00,-1.42,0.0,981.82,0.0,0.0,188.6,22.2,9.52,80.2
2019-01-24 23:00:00,-1.48,0.0,982.08,0.0,0.0,209.0,21.8,9.88,77.2
2019-01-25 00:00:00,-1.92,0.0,982.38,0.0,0.0,155.2,21.8,9.6,76.4
2019-01-25 01:00:00,-2.74,0.0,982.56,0.0,0.0,149.6,21.38,10.36,76.4
2019-01-25 02:00:00,-1.48,0.0,982.54,0.0,0.0,157.4,22.02,12.64,73.8
2019-01-25 03:00:00,-1.5,0.0,982.94,0.0,0.0,143.6,25.98,11.68,71.0
2019-01-25 04:00:00,-2.36,0.0,983.24,0.0,0.0,147.8,25.34,11.66,71.6
2019-01-25 05:00:00,-3.28,0.0,983.04,0.0,0.0,146.4,25.36,11.96,73.2
2019-01-25 06:00:00,-3.88,0.0,983.04,0.0,0.0,150.4,25.48,11.06,72.6
2019-01-25 07:00:00,-4.0,0.0,983.68,0.0,0.0,163.8,23.26,8.9,73.2
2019-01-25 08:00:00,-4.02,0.0,984.3,0.0,0.0,178.6,19.14,7.18,75.8
2019-01-25 09:00:00,-3.56,0.0,984.6,0.0,5.6,122.2,17.94,7.42,74.2
2019-01-25 10:00:00,-2.46,0.0,985.34,0.0,83.0,96.2,19.64,7.32,68.4
2019-01-25 11:00:00,-1.12,0.0,986.12,0.0,182.0,85.0,21.88,7.98,65.2
2019-01-25 12:00:00,-0.04,0.0,985.8,0.0,269.0,48.2,26.94,10.46,60.2
2019-01-25 13:00:00,1.14,0.0,985.16,0.0,366.0,42.8,33.46,13.06,54.8
2019-01-25 14:00:00,1.2,0.0,985.8,0.0,379.2,48.2,33.48,14.92,59.4
2019-01-25 15:00:00,1.52,0.0,985.4,0.0,291.2,45.6,36.72,15.3,55.2
2019-01-25 16:00:00,1.58,0.0,985.36,0.0,232.8,50.2,36.44,13.98,53.8
2019-01-25 17:00:00,0.66,0.0,985.78,0.0,136.2,124.0,33.04,12.1,57.6
2019-01-25 18:00:00,-1.16,0.0,986.34,0.0,31.6,117.2,29.16,10.82,61.8
2019-01-25 19:00:00,-2.04,0.0,986.94,0.0,0.0,121.4,25.22,10.0,62.2
2019-01-25 20:00:00,-3.28,0.0,987.32,0.0,0.0,128.0,23.26,9.22,64.6
2019-01-25 21:00:00,-4.32,0.0,987.7,0.0,0.0,129.0,20.96,9.76,66.0
2019-01-25 22:00:00,-4.5,0.0,988.14,0.0,0.0,141.0,21.24,9.82,64.6
2019-01-25 23:00:00,-4.08,0.0,988.44,0.0,0.0,65.8,20.84,8.66,64.0
2019-01-26 00:00:00,-3.5,0.0,988.54,0.0,0.0,126.6,19.78,8.64,62.4
2019-01-26 01:00:00,-3.86,0.0,988.52,0.0,0.0,149.8,19.44,7.2,62.6
2019-01-26 02:00:00,-5.06,0.0,987.9,0.0,0.0,229.8,16.7,8.5,71.4
2019-01-26 03:00:00,-4.98,0.0,987.82,0.0,0.0,240.4,19.28,8.6,70.2
2019-01-26 04:00:00,-6.92,0.0,987.42,0.0,0.0,219.4,20.38,10.34,73.0
2019-01-26 05:00:00,-5.42,0.0,987.86,0.0,0.0,220.6,20.66,8.26,70.4
2019-01-26 06:00:00,-7.4,0.0,987.8,0.0,0.0,171.4,17.56,7.26,73.2
2019-01-26 07:00:00,-7.7,0.0,987.64,0.0,0.0,191.2,15.48,7.5,75.0
2019-01-26 08:00:00,-7.8,0.0,987.92,0.0,0.0,192.8,17.12,9.02,76.0
2019-01-26 09:00:00,-7.08,0.0,988.34,0.0,6.8,193.2,18.52,9.44,72.8
2019-01-26 10:00:00,-4.34,0.0,988.44,0.0,74.0,197.0,19.92,8.12,64.2
2019-01-26 11:00:00,-2.08,0.0,988.72,0.0,171.2,192.6,20.54,7.82,58.4
2019-01-26 12:00:00,-0.3,0.0,988.26,0.0,257.4,188.0,21.7,8.5,52.0
2019-01-26 13:00:00,1.04,0.0,987.86,0.0,331.2,184.0,22.74,8.7,47.8
2019-01-26 14:00:00,1.22,0.0,987.06,0.0,385.8,186.2,23.84,7.94,56.6
2019-01-26 15:00:00,2.06,0.0,986.2,0.0,349.2,198.4,21.6,7.24,55.6
2019-01-26 16:00:00,2.24,0.0,985.8,0.0,275.2,201.4,19.28,6.98,55.6
2019-01-26 17:00:00,0.82,0.0,985.46,0.0,148.2,174.8,17.0,7.2,62.4
2019-01-26 18:00:00,-0.26,0.0,985.42,0.0,32.2,173.0,14.34,7.0,65.0
2019-01-26 19:00:00,-1.4,0.0,985.16,0.0,0.0,229.4,13.84,5.94,69.8
2019-01-26 20:00:00,-2.32,0.0,985.08,0.0,0.0,223.8,13.3,6.32,73.4
2019-01-26 21:00:00,-2.44,0.0,984.82,0.0,0.0,200.8,12.68,4.9,74.6
2019-01-26 22:00:00,-3.46,0.0,984.66,0.0,0.0,193.2,10.44,4.54,76.4
2019-01-26 23:00:00,-2.76,0.0,984.58,0.0,0.0,194.4,9.92,4.92,73.4
2019-01-27 00:00:00,-1.96,0.0,984.44,0.0,0.0,205.8,10.72,4.58,69.0
2019-01-27 01:00:00,-2.8,0.0,983.9,0.0,0.0,194.6,10.02,4.58,70.2
2019-01-27 02:00:00,-3.94,0.0,983.34,0.0,0.0,208.6,11.0,5.48,75.4
2019-01-27 03:00:00,-3.78,0.0,983.06,0.0,0.0,219.2,11.6,5.58,72.2
2019-01-27 04:00:00,-3.92,0.0,982.5,0.0,0.0,221.0,11.3,5.46,72.6
2019-01-27 05:00:00,-3.64,0.0,981.76,0.0,0.0,188.2,10.5,4.66,71.0
2019-01-27 06:00:00,-3.82,0.0,980.82,0.0,0.0,206.8,11.46,4.46,72.0
2019-01-27 07:00:00,-3.82,0.0,980.04,0.0,0.0,194.4,12.26,4.92,71.0
2019-01-27 08:00:00,-3.72,0.0,979.44,0.0,0.0,199.2,13.32,5.32,69.4
2019-01-27 09:00:00,-3.18,0.0,979.14,0.0,7.2,194.0,13.9,4.82,66.4
2019-01-27 10:00:00,-0.38,0.0,978.88,0.0,87.4,174.0,15.96,6.14,55.6
2019-01-27 11:00:00,2.72,0.0,978.46,0.0,182.4,182.4,17.98,5.9,45.8
2019-01-27 12:00:00,5.32,0.0,977.8,0.0,273.6,211.4,19.74,6.9,44.4
2019-01-27 13:00:00,7.54,0.0,976.8,0.0,331.2,232.4,22.04,7.84,39.8
2019-01-27 14:00:00,7.44,0.0,976.28,0.0,312.2,215.0,24.68,9.6,60.4
2019-01-27 15:00:00,6.5,0.0,975.7,0.0,184.6,199.8,26.0,9.04,67.8
2019-01-27 16:00:00,6.04,0.0,975.28,0.0,119.0,197.0,23.4,9.1,68.8
2019-01-27 17:00:00,4.58,0.02,974.7,0.0,56.2,191.2,23.56,8.8,75.8
2019-01-27 18:00:00,3.78,0.06,974.04,0.0,13.4,188.8,22.68,9.28,80.8
2019-01-27 19:00:00,3.5,0.12,973.68,0.0,0.0,206.4,21.1,7.92,83.4
2019-01-27 20:00:00,3.14,0.12,973.26,0.0,0.0,207.8,19.88,8.16,87.0
2019-01-27 21:00:00,3.24,0.16,972.66,0.0,0.0,147.0,19.64,8.42,87.4
2019-01-27 22:00:00,3.02,0.3,972.22,0.0,0.0,174.4,20.82,8.8,89.6
2019-01-27 23:00:00,2.9,0.44,971.52,0.0,0.0,132.6,27.38,8.94,92.0
2019-01-28 00:00:00,2.72,0.82,970.76,0.0,0.0,138.4,32.26,9.16,93.6
2019-01-28 01:00:00,3.06,1.12,970.4,0.0,0.0,135.2,37.16,9.16,92.0
2019-01-28 02:00:00,3.24,1.36,970.46,0.0,0.0,137.8,40.3,8.7,91.6
2019-01-28 03:00:00,3.08,1.36,970.26,0.0,0.0,168.0,27.86,7.18,92.2
2019-01-28 04:00:00,2.66,0.88,970.0,0.0,0.0,214.8,24.48,7.34,94.4
2019-01-28 05:00:00,2.26,0.4,969.58,0.0,0.0,230.0,17.2,5.96,95.6
2019-01-28 06:00:00,1.4,0.2,969.52,0.0,0.0,239.6,15.28,6.4,97.0
2019-01-28 07:00:00,1.44,0.1,969.46,0.0,0.0,243.6,14.42,5.04,96.4
2019-01-28 08:00:00,1.04,0.08,969.84,0.0,0.0,249.2,12.6,5.28,96.2
2019-01-28 09:00:00,1.1,0.28,970.6,0.0,4.8,247.0,12.76,5.9,94.8
2019-01-28 10:00:00,2.28,0.32,971.22,0.0,39.4,233.6,14.18,4.8,94.2
2019-01-28 11:00:00,3.0,0.34,971.48,0.014,81.8,197.0,12.52,3.82,93.6
2019-01-28 12:00:00,4.1,0.34,971.7,0.098,136.2,81.8,14.46,4.32,89.0
2019-01-28 13:00:00,4.7,0.14,971.6,0.014,158.8,147.6,16.18,5.36,82.6
2019-01-28 14:00:00,4.3,0.18,972.2,0.014,154.6,96.4,18.74,5.66,90.0
2019-01-28 15:00:00,4.14,0.32,972.34,0.0,87.0,106.2,17.72,7.86,89.4
2019-01-28 16:00:00,3.78,0.2,972.88,0.0,98.2,111.0,18.7,7.44,89.6
2019-01-28 17:00:00,3.26,0.24,973.4,0.014,56.8,114.6,16.78,5.62,88.6
2019-01-28 18:00:00,2.62,0.16,973.92,0.0,14.4,124.8,13.7,5.56,89.8
2019-01-28 19:00:00,1.6,0.14,974.5,0.014,0.0,211.8,12.76,4.88,92.8
2019-01-28 20:00:00,0.78,0.18,975.1,0.042,0.0,211.8,10.8,4.72,95.0
2019-01-28 21:00:00,0.72,0.12,975.78,0.042,0.0,201.6,9.88,4.7,95.0
2019-01-28 22:00:00,0.76,0.16,976.36,0.028,0.0,200.6,9.64,4.0,95.2
2019-01-28 23:00:00,0.6,0.1,976.76,0.042,0.0,199.6,10.0,4.7,95.2
2019-01-29 00:00:00,0.42,0.08,977.5,0.028,0.0,199.0,10.68,5.06,94.8
2019-01-29 01:00:00,0.38,0.02,977.78,0.014,0.0,202.4,12.06,5.72,93.4
2019-01-29 02:00:00,0.98,0.04,978.4,0.028,0.0,182.6,11.82,5.6,94.0
2019-01-29 03:00:00,1.68,0.04,979.02,0.014,0.0,190.0,14.98,5.92,93.6
2019-01-29 04:00:00,1.42,0.04,979.34,0.014,0.0,124.0,12.98,5.36,93.2
2019-01-29 05:00:00,1.12,0.02,979.54,0.014,0.0,134.6,11.46,4.78,93.2
2019-01-29 06:00:00,0.68,0.0,980.08,0.0,0.0,152.4,10.5,4.7,92.6
2019-01-29 07:00:00,0.52,0.0,980.52,0.0,0.0,154.8,9.64,4.42,92.8
2019-01-29 08:00:00,0.24,0.0,981.34,0.0,0.0,170.2,11.1,5.34,92.2
2019-01-29 09:00:00,0.28,0.02,981.94,0.014,5.2,164.4,11.96,5.22,91.6
2019-01-29 10:00:00,1.42,0.0,982.92,0.0,61.4,230.8,14.04,5.66,90.2
2019-01-29 11:00:00,2.76,0.0,983.48,0.0,137.0,223.2,14.76,4.46,83.8
2019-01-29 12:00:00,3.9,0.0,983.72,0.0,218.6,192.2,15.12,3.6,76.2
2019-01-29 13:00:00,4.9,0.02,983.16,0.0,310.0,54.0,19.16,5.06,69.8
2019-01-29 14:00:00,4.8,0.0,983.4,0.0,356.4,69.8,25.56,6.28,73.6
2019-01-29 15:00:00,4.74,0.12,983.08,0.0,180.6,53.6,21.12,6.84,72.0
2019-01-29 16:00:00,4.44,0.1,983.0,0.0,148.6,63.4,21.0,6.74,74.2
2019-01-29 17:00:00,3.72,0.12,982.76,0.014,92.4,118.4,19.66,5.58,78.4
2019-01-29 18:00:00,2.1,0.04,982.74,0.0,27.4,130.8,14.54,6.2,85.2
2019-01-29 19:00:00,0.76,0.02,982.8,0.0,0.0,135.4,13.32,6.5,89.8
2019-01-29 20:00:00,0.9,0.06,982.78,0.028,0.0,125.6,12.6,5.84,87.6
2019-01-29 21:00:00,0.54,0.12,982.74,0.084,0.0,117.4,11.6,5.06,88.0
2019-01-29 22:00:00,0.36,0.2,982.48,0.14,0.0,118.2,10.72,4.54,89.4
2019-01-29 23:00:00,0.16,0.1,982.22,0.07,0.0,94.6,10.66,4.08,91.2
