,ts,vrednost
60509,2017-05-03 16:15:00,1.34
60510,2017-05-03 16:30:00,1.385
60511,2017-05-03 16:45:00,1.535
60512,2017-05-03 17:00:00,2.8975
60513,2017-05-03 17:15:00,3.8475
60514,2017-05-03 17:30:00,3.59
60515,2017-05-03 17:45:00,3.55
60516,2017-05-03 18:00:00,3.0975
60517,2017-05-03 18:15:00,2.25
60518,2017-05-03 18:30:00,1.58
60519,2017-05-03 18:45:00,0.745
60520,2017-05-03 19:00:00,0.6625
60521,2017-05-03 19:15:00,0.5775
60522,2017-05-03 19:30:00,0.655
60523,2017-05-03 19:45:00,0.6525
60524,2017-05-03 20:00:00,0.57
60525,2017-05-03 20:15:00,0.6225
60526,2017-05-03 20:30:00,0.675
60527,2017-05-03 20:45:00,0.545
60528,2017-05-03 21:00:00,0.635
60529,2017-05-03 21:15:00,0.63
60530,2017-05-03 21:30:00,0.5625
60531,2017-05-03 21:45:00,0.7175
60532,2017-05-03 22:00:00,0.55
60533,2017-05-03 22:15:00,0.7
60534,2017-05-03 22:30:00,0.5925
60535,2017-05-03 22:45:00,0.5875
60536,2017-05-03 23:00:00,0.695
60537,2017-05-03 23:15:00,0.5775
60538,2017-05-03 23:30:00,0.71
60539,2017-05-03 23:45:00,0.5625
60540,2017-05-04 00:00:00,0.58
60541,2017-05-04 00:15:00,0.695
60542,2017-05-04 00:30:00,0.645
60543,2017-05-04 00:45:00,0.605
60544,2017-05-04 01:00:00,0.5375
60545,2017-05-04 01:15:00,0.7175
60546,2017-05-04 01:30:00,0.64
60547,2017-05-04 01:45:00,0.6225
60548,2017-05-04 02:00:00,0.6075
60549,2017-05-04 02:15:00,0.5425
60550,2017-05-04 02:30:00,0.62
60551,2017-05-04 02:45:00,0.6425
60552,2017-05-04 03:00:00,0.56
60553,2017-05-04 03:15:00,0.685
60554,2017-05-04 03:30:00,0.66
60555,2017-05-04 03:45:00,0.7475
60556,2017-05-04 04:00:00,0.6175
60557,2017-05-04 04:15:00,0.5725
60558,2017-05-04 04:30:00,0.535
60559,2017-05-04 04:45:00,1.2075
60560,2017-05-04 05:00:00,1.2025
60561,2017-05-04 05:15:00,1.1625
60562,2017-05-04 05:30:00,1.1775
60563,2017-05-04 05:45:00,1.2475
60564,2017-05-04 06:00:00,1.3525
60565,2017-05-04 06:15:00,1.1825
60566,2017-05-04 06:30:00,1.2825
60567,2017-05-04 06:45:00,1.275
60568,2017-05-04 07:00:00,1.5225
60569,2017-05-04 07:15:00,1.33
60570,2017-05-04 07:30:00,1.14
60571,2017-05-04 07:45:00,1.115
60572,2017-05-04 08:00:00,1.2825
60573,2017-05-04 08:15:00,1.1875
60574,2017-05-04 08:30:00,1.3
60575,2017-05-04 08:45:00,1.81
60576,2017-05-04 09:00:00,2.665
60577,2017-05-04 09:15:00,2.9425
60578,2017-05-04 09:30:00,2.645
60579,2017-05-04 09:45:00,2.665
60580,2017-05-04 10:00:00,2.9375
60581,2017-05-04 10:15:00,2.87
60582,2017-05-04 10:30:00,2.6975
60583,2017-05-04 10:45:00,2.8075
60584,2017-05-04 11:00:00,2.89
60585,2017-05-04 11:15:00,2.7425
60586,2017-05-04 11:30:00,2.8975
60587,2017-05-04 11:45:00,2.7075
60588,2017-05-04 12:00:00,2.0925
60589,2017-05-04 12:15:00,1.45
60590,2017-05-04 12:30:00,1.4675
60591,2017-05-04 12:45:00,1.425
60592,2017-05-04 13:00:00,1.365
60593,2017-05-04 13:15:00,1.32
60594,2017-05-04 13:30:00,1.59
60595,2017-05-04 13:45:00,1.4175
60596,2017-05-04 14:00:00,1.4675
60597,2017-05-04 14:15:00,1.41
60598,2017-05-04 14:30:00,1.2925
60599,2017-05-04 14:45:00,1.555
60600,2017-05-04 15:00:00,1.6425
60601,2017-05-04 15:15:00,1.63
60602,2017-05-04 15:30:00,1.5825
60603,2017-05-04 15:45:00,4.005
60604,2017-05-04 16:00:00,3.83
60605,2017-05-04 16:15:00,3.83
60606,2017-05-04 16:30:00,3.8025
60607,2017-05-04 16:45:00,3.87
60608,2017-05-04 17:00:00,4.185
60609,2017-05-04 17:15:00,5.0025
60610,2017-05-04 17:30:00,5.03
60611,2017-05-04 17:45:00,5.2675
60612,2017-05-04 18:00:00,4.91
60613,2017-05-04 18:15:00,4.64
60614,2017-05-04 18:30:00,4.5275
60615,2017-05-04 18:45:00,3.545
60616,2017-05-04 19:00:00,2.8075
60617,2017-05-04 19:15:00,2.2225
60618,2017-05-04 19:30:00,2.705
60619,2017-05-04 19:45:00,2.1075
60620,2017-05-04 20:00:00,2.0325
60621,2017-05-04 20:15:00,2.315
60622,2017-05-04 20:30:00,2.0525
60623,2017-05-04 20:45:00,2.1375
60624,2017-05-04 21:00:00,2.0325
60625,2017-05-04 21:15:00,2.1225
60626,2017-05-04 21:30:00,2.045
60627,2017-05-04 21:45:00,2.16
60628,2017-05-04 22:00:00,2.1325
60629,2017-05-04 22:15:00,2.08
60630,2017-05-04 22:30:00,1.3
60631,2017-05-04 22:45:00,0.7975
60632,2017-05-04 23:00:00,0.8975
60633,2017-05-04 23:15:00,0.9
60634,2017-05-04 23:30:00,0.8175
60635,2017-05-04 23:45:00,0.76
60636,2017-05-05 00:00:00,0.9025
60637,2017-05-05 00:15:00,0.845
60638,2017-05-05 00:30:00,0.8925
60639,2017-05-05 00:45:00,0.7825
60640,2017-05-05 01:00:00,0.78
60641,2017-05-05 01:15:00,0.905
60642,2017-05-05 01:30:00,0.9725
60643,2017-05-05 01:45:00,0.815
60644,2017-05-05 02:00:00,0.78
60645,2017-05-05 02:15:00,0.8875
60646,2017-05-05 02:30:00,0.8225
60647,2017-05-05 02:45:00,0.965
60648,2017-05-05 03:00:00,0.8
60649,2017-05-05 03:15:00,0.9
60650,2017-05-05 03:30:00,0.765
60651,2017-05-05 03:45:00,0.86
60652,2017-05-05 04:00:00,0.89
60653,2017-05-05 04:15:00,0.9325
60654,2017-05-05 04:30:00,2.16
60655,2017-05-05 04:45:00,1.725
60656,2017-05-05 05:00:00,2.0025
60657,2017-05-05 05:15:00,2.965
60658,2017-05-05 05:30:00,3.14
60659,2017-05-05 05:45:00,3.4
60660,2017-05-05 06:00:00,3.4025
60661,2017-05-05 06:15:00,3.4275
60662,2017-05-05 06:30:00,3.56
60663,2017-05-05 06:45:00,3.575
60664,2017-05-05 07:00:00,3.595
60665,2017-05-05 07:15:00,3.555
60666,2017-05-05 07:30:00,3.635
60667,2017-05-05 07:45:00,3.225
60668,2017-05-05 08:00:00,2.8325
60669,2017-05-05 08:15:00,2.74
60670,2017-05-05 08:30:00,2.84
60671,2017-05-05 08:45:00,2.815
60672,2017-05-05 09:00:00,2.92
60673,2017-05-05 09:15:00,3.2675
60674,2017-05-05 09:30:00,3.0375
60675,2017-05-05 09:45:00,3.0975
60676,2017-05-05 10:00:00,2.77
60677,2017-05-05 10:15:00,2.685
60678,2017-05-05 10:30:00,2.6975
60679,2017-05-05 10:45:00,2.81
60680,2017-05-05 11:00:00,3.045
60681,2017-05-05 11:15:00,2.6025
60682,2017-05-05 11:30:00,2.59
60683,2017-05-05 11:45:00,2.515
60684,2017-05-05 12:00:00,2.685
60685,2017-05-05 12:15:00,2.6175
60686,2017-05-05 12:30:00,2.4825
60687,2017-05-05 12:45:00,2.48
60688,2017-05-05 13:00:00,2.5425
60689,2017-05-05 13:15:00,2.86
60690,2017-05-05 13:30:00,2.735
60691,2017-05-05 13:45:00,2.6
60692,2017-05-05 14:00:00,2.565
60693,2017-05-05 14:15:00,2.6275
60694,2017-05-05 14:30:00,2.89
60695,2017-05-05 14:45:00,2.66
60696,2017-05-05 15:00:00,2.6675
60697,2017-05-05 15:15:00,2.6375
60698,2017-05-05 15:30:00,2.7525
60699,2017-05-05 15:45:00,2.7525
60700,2017-05-05 16:00:00,2.595
60701,2017-05-05 16:15:00,2.605
60702,2017-05-05 16:30:00,2.835
60703,2017-05-05 16:45:00,3.0525
60704,2017-05-05 17:00:00,2.9875
60705,2017-05-05 17:15:00,2.775
60706,2017-05-05 17:30:00,2.78
60707,2017-05-05 17:45:00,3.8125
60708,2017-05-05 18:00:00,4.06
60709,2017-05-05 18:15:00,4.645
60710,2017-05-05 18:30:00,4.68
60711,2017-05-05 18:45:00,4.68
60712,2017-05-05 19:00:00,3.2425
60713,2017-05-05 19:15:00,3.4975
60714,2017-05-05 19:30:00,3.285
60715,2017-05-05 19:45:00,3.2875
60716,2017-05-05 20:00:00,2.3975
60717,2017-05-05 20:15:00,1.8675
60718,2017-05-05 20:30:00,0.9975
60719,2017-05-05 20:45:00,0.795
60720,2017-05-05 21:00:00,0.7925
60721,2017-05-05 21:15:00,0.7875
60722,2017-05-05 21:30:00,0.895
60723,2017-05-05 21:45:00,0.8725
60724,2017-05-05 22:00:00,0.78
60725,2017-05-05 22:15:00,0.8725
60726,2017-05-05 22:30:00,0.78
60727,2017-05-05 22:45:00,0.8875
60728,2017-05-05 23:00:00,0.79
60729,2017-05-05 23:15:00,0.815
60730,2017-05-05 23:30:00,0.945
60731,2017-05-05 23:45:00,0.835
60732,2017-05-06 00:00:00,0.83
60733,2017-05-06 00:15:00,0.765
60734,2017-05-06 00:30:00,0.765
60735,2017-05-06 00:45:00,0.8575
60736,2017-05-06 01:00:00,0.93
60737,2017-05-06 01:15:00,0.7775
60738,2017-05-06 01:30:00,0.765
60739,2017-05-06 01:45:00,0.7825
60740,2017-05-06 02:00:00,0.8925
60741,2017-05-06 02:15:00,0.8275
60742,2017-05-06 02:30:00,0.7625
60743,2017-05-06 02:45:00,0.7825
60744,2017-05-06 03:00:00,0.83
60745,2017-05-06 03:15:00,1.005
60746,2017-05-06 03:30:00,0.7775
60747,2017-05-06 03:45:00,0.78
60748,2017-05-06 04:00:00,0.78
60749,2017-05-06 04:15:00,0.955
60750,2017-05-06 04:30:00,0.775
60751,2017-05-06 04:45:00,0.68
60752,2017-05-06 05:00:00,0.7225
60753,2017-05-06 05:15:00,0.6425
60754,2017-05-06 05:30:00,0.865
60755,2017-05-06 05:45:00,0.65
60756,2017-05-06 06:00:00,0.6275
60757,2017-05-06 06:15:00,0.6275
60758,2017-05-06 06:30:00,0.735
60759,2017-05-06 06:45:00,0.7575
60760,2017-05-06 07:00:00,0.7175
60761,2017-05-06 07:15:00,0.655
60762,2017-05-06 07:30:00,0.74
60763,2017-05-06 07:45:00,0.645
60764,2017-05-06 08:00:00,0.7575
60765,2017-05-06 08:15:00,0.6825
60766,2017-05-06 08:30:00,0.7775
60767,2017-05-06 08:45:00,0.7325
60768,2017-05-06 09:00:00,0.645
60769,2017-05-06 09:15:00,0.8375
60770,2017-05-06 09:30:00,0.6725
60771,2017-05-06 09:45:00,0.7675
60772,2017-05-06 10:00:00,0.7525
60773,2017-05-06 10:15:00,0.675
60774,2017-05-06 10:30:00,0.665
60775,2017-05-06 10:45:00,0.785
60776,2017-05-06 11:00:00,0.74
60777,2017-05-06 11:15:00,0.63
60778,2017-05-06 11:30:00,0.63
60779,2017-05-06 11:45:00,0.745
60780,2017-05-06 12:00:00,0.775
60781,2017-05-06 12:15:00,0.7475
60782,2017-05-06 12:30:00,0.6325
60783,2017-05-06 12:45:00,0.6775
60784,2017-05-06 13:00:00,0.7725
60785,2017-05-06 13:15:00,0.7
60786,2017-05-06 13:30:00,0.775
60787,2017-05-06 13:45:00,0.67
60788,2017-05-06 14:00:00,1.2175
60789,2017-05-06 14:15:00,1.32
60790,2017-05-06 14:30:00,1.2175
60791,2017-05-06 14:45:00,1.3125
60792,2017-05-06 15:00:00,1.2925
60793,2017-05-06 15:15:00,1.2925
60794,2017-05-06 15:30:00,1.1975
60795,2017-05-06 15:45:00,1.25
60796,2017-05-06 16:00:00,1.3025
60797,2017-05-06 16:15:00,1.23
60798,2017-05-06 16:30:00,1.325
60799,2017-05-06 16:45:00,1.21
60800,2017-05-06 17:00:00,1.355
60801,2017-05-06 17:15:00,1.3225
60802,2017-05-06 17:30:00,1.3125
60803,2017-05-06 17:45:00,1.3725
60804,2017-05-06 18:00:00,0.8125
60805,2017-05-06 18:15:00,0.95
60806,2017-05-06 18:30:00,0.785
60807,2017-05-06 18:45:00,0.765
60808,2017-05-06 19:00:00,0.855
60809,2017-05-06 19:15:00,0.785
60810,2017-05-06 19:30:00,0.96
60811,2017-05-06 19:45:00,0.8
60812,2017-05-06 20:00:00,0.9175
60813,2017-05-06 20:15:00,0.7775
60814,2017-05-06 20:30:00,0.865
60815,2017-05-06 20:45:00,0.875
60816,2017-05-06 21:00:00,0.8
60817,2017-05-06 21:15:00,0.9325
60818,2017-05-06 21:30:00,0.8125
60819,2017-05-06 21:45:00,0.8075
60820,2017-05-06 22:00:00,0.8575
60821,2017-05-06 22:15:00,0.7675
60822,2017-05-06 22:30:00,0.8725
60823,2017-05-06 22:45:00,0.855
60824,2017-05-06 23:00:00,0.7825
60825,2017-05-06 23:15:00,0.8525
60826,2017-05-06 23:30:00,0.7675
60827,2017-05-06 23:45:00,0.8825
60828,2017-05-07 00:00:00,0.755
60829,2017-05-07 00:15:00,0.7475
60830,2017-05-07 00:30:00,0.8225
60831,2017-05-07 00:45:00,0.99
60832,2017-05-07 01:00:00,0.79
60833,2017-05-07 01:15:00,0.7825
60834,2017-05-07 01:30:00,0.7675
60835,2017-05-07 01:45:00,0.965
60836,2017-05-07 02:00:00,0.8675
60837,2017-05-07 02:15:00,0.795
60838,2017-05-07 02:30:00,0.7975
60839,2017-05-07 02:45:00,0.7775
60840,2017-05-07 03:00:00,1.0825
60841,2017-05-07 03:15:00,0.785
60842,2017-05-07 03:30:00,0.7825
60843,2017-05-07 03:45:00,0.775
60844,2017-05-07 04:00:00,0.7475
60845,2017-05-07 04:15:00,1.03
60846,2017-05-07 04:30:00,0.7575
60847,2017-05-07 04:45:00,0.6975
60848,2017-05-07 05:00:00,0.6625
60849,2017-05-07 05:15:00,0.7425
60850,2017-05-07 05:30:00,0.765
60851,2017-05-07 05:45:00,0.6825
60852,2017-05-07 06:00:00,0.66
60853,2017-05-07 06:15:00,0.775
60854,2017-05-07 06:30:00,0.6725
60855,2017-05-07 06:45:00,0.7625
60856,2017-05-07 07:00:00,1.22
60857,2017-05-07 07:15:00,1.3175
60858,2017-05-07 07:30:00,1.2325
60859,2017-05-07 07:45:00,1.1975
60860,2017-05-07 08:00:00,1.2775
60861,2017-05-07 08:15:00,1.25
60862,2017-05-07 08:30:00,1.435
60863,2017-05-07 08:45:00,1.3325
60864,2017-05-07 09:00:00,1.4475
60865,2017-05-07 09:15:00,1.8575
60866,2017-05-07 09:30:00,1.54
60867,2017-05-07 09:45:00,1.4475
60868,2017-05-07 10:00:00,0.8525
60869,2017-05-07 10:15:00,0.83
60870,2017-05-07 10:30:00,0.7975
60871,2017-05-07 10:45:00,0.7825
60872,2017-05-07 11:00:00,0.7425
