,datetime,temperature_2m,precipitation,surface_pressure,snowfall,shortwave_radiation,winddirection_10m,windgusts_10m,windspeed_10m
0,2015-08-12 00:00:00,23.84,0.0,992.0,0.0,0.0,241.4,11.24,5.58
1,2015-08-12 01:00:00,22.8,0.0,992.0,0.0,0.0,239.6,10.94,5.64
2,2015-08-12 02:00:00,22.08,0.0,991.66,0.0,0.0,245.4,10.8,5.46
3,2015-08-12 03:00:00,21.34,0.0,991.48,0.0,0.0,249.2,10.08,5.0
4,2015-08-12 04:00:00,20.76,0.0,991.58,0.0,0.0,246.2,10.08,5.0
5,2015-08-12 05:00:00,20.24,0.0,991.74,0.0,0.0,246.4,9.88,5.06
6,2015-08-12 06:00:00,19.86,0.0,992.0,0.0,0.0,244.8,9.88,5.3
7,2015-08-12 07:00:00,20.28,0.0,992.28,0.0,43.2,247.6,10.22,5.44
8,2015-08-12 08:00:00,23.22,0.0,992.88,0.0,184.2,252.0,11.8,4.8
9,2015-08-12 09:00:00,26.18,0.0,993.48,0.0,332.4,260.4,12.32,3.94
10,2015-08-12 10:00:00,28.54,0.0,993.54,0.0,504.0,214.8,14.56,4.98
11,2015-08-12 11:00:00,30.12,0.0,993.86,0.0,640.8,25.0,18.86,6.42
12,2015-08-12 12:00:00,31.08,0.0,993.74,0.0,724.2,40.6,20.88,5.86
13,2015-08-12 13:00:00,31.72,0.0,993.5,0.0,709.0,58.4,22.74,6.62
14,2015-08-12 14:00:00,31.92,0.0,993.24,0.0,651.8,68.6,23.68,7.26
15,2015-08-12 15:00:00,32.02,0.0,992.8,0.0,595.6,69.8,23.34,6.84
16,2015-08-12 16:00:00,32.0,0.0,992.42,0.0,574.0,133.0,22.18,6.3
17,2015-08-12 17:00:00,31.7,0.0,992.36,0.0,450.6,125.4,20.9,6.54
18,2015-08-12 18:00:00,31.36,0.0,992.24,0.0,336.6,118.6,18.42,6.52
19,2015-08-12 19:00:00,30.04,0.0,992.1,0.0,186.2,162.0,14.62,5.28
20,2015-08-12 20:00:00,28.86,0.0,992.06,0.0,55.2,283.6,10.08,5.46
21,2015-08-12 21:00:00,28.34,0.0,992.44,0.0,0.4,278.8,11.88,6.02
22,2015-08-12 22:00:00,27.16,0.0,992.8,0.0,0.0,274.4,11.16,5.84
23,2015-08-12 23:00:00,25.88,0.0,992.92,0.0,0.0,267.6,10.94,5.66
24,2015-08-13 00:00:00,24.42,0.0,992.88,0.0,0.0,270.6,10.6,5.28
25,2015-08-13 01:00:00,23.42,0.0,992.72,0.0,0.0,264.8,11.02,5.12
26,2015-08-13 02:00:00,22.6,0.0,992.2,0.0,0.0,255.0,10.52,5.28
27,2015-08-13 03:00:00,21.78,0.0,992.16,0.0,0.0,259.4,10.44,5.88
28,2015-08-13 04:00:00,21.24,0.0,992.1,0.0,0.0,248.2,10.78,5.94
29,2015-08-13 05:00:00,20.78,0.0,991.92,0.0,0.0,247.6,10.88,5.92
30,2015-08-13 06:00:00,20.4,0.0,992.04,0.0,0.0,251.8,10.88,5.82
31,2015-08-13 07:00:00,20.74,0.0,992.14,0.0,43.4,251.6,11.02,6.08
32,2015-08-13 08:00:00,23.7,0.0,992.52,0.0,183.6,249.4,12.46,4.46
33,2015-08-13 09:00:00,27.0,0.0,992.7,0.0,352.6,262.0,11.8,3.28
34,2015-08-13 10:00:00,29.44,0.0,992.92,0.0,519.6,87.0,12.82,3.72
35,2015-08-13 11:00:00,31.12,0.0,992.8,0.0,660.8,114.6,16.5,4.88
36,2015-08-13 12:00:00,32.2,0.0,992.62,0.0,751.4,192.4,18.5,2.7
37,2015-08-13 13:00:00,32.62,0.0,992.08,0.0,726.0,191.2,18.5,2.92
38,2015-08-13 14:00:00,32.86,0.0,991.66,0.0,693.8,139.8,17.58,4.12
39,2015-08-13 15:00:00,33.02,0.0,990.96,0.0,651.6,153.4,16.42,4.8
40,2015-08-13 16:00:00,32.92,0.0,990.42,0.0,535.4,161.8,16.56,5.34
41,2015-08-13 17:00:00,32.7,0.0,989.92,0.0,462.4,161.2,16.12,5.36
42,2015-08-13 18:00:00,32.18,0.0,989.84,0.0,347.4,157.6,14.74,4.58
43,2015-08-13 19:00:00,30.84,0.0,989.36,0.0,181.0,137.0,11.94,3.16
44,2015-08-13 20:00:00,29.5,0.0,988.94,0.0,56.0,122.0,9.92,4.22
45,2015-08-13 21:00:00,28.88,0.0,989.22,0.0,0.4,63.8,9.66,5.9
46,2015-08-13 22:00:00,28.06,0.0,989.3,0.0,0.0,87.6,9.86,5.68
47,2015-08-13 23:00:00,27.3,0.0,989.2,0.0,0.0,106.2,9.88,4.96
48,2015-08-14 00:00:00,26.7,0.0,989.3,0.0,0.0,138.6,9.28,4.02
49,2015-08-14 01:00:00,25.98,0.0,989.04,0.0,0.0,177.2,8.72,3.3
50,2015-08-14 02:00:00,24.96,0.0,988.92,0.0,0.0,240.0,7.86,3.14
51,2015-08-14 03:00:00,23.84,0.0,988.46,0.0,0.0,232.2,7.4,3.34
52,2015-08-14 04:00:00,23.38,0.0,988.24,0.0,0.0,174.4,6.84,3.28
